Cycle,Current_mA,Voltage_V,Power_mW,Command
94850,40.000,1.200,48.000,PRECHARGE
95050,40.000,1.200,48.000,PRECHARGE
95250,40.000,1.200,48.000,PRECHARGE
95450,40.000,1.200,48.000,PRECHARGE
95650,40.000,1.200,48.000,PRECHARGE
95850,40.000,1.200,48.000,PRECHARGE
96050,40.000,1.200,48.000,PRECHARGE
96250,40.000,1.200,48.000,PRECHARGE
96450,40.000,1.200,48.000,PRECHARGE
96650,40.000,1.200,48.000,PRECHARGE
96850,40.000,1.200,48.000,PRECHARGE
97050,40.000,1.200,48.000,PRECHARGE
97250,40.000,1.200,48.000,PRECHARGE
97450,40.000,1.200,48.000,PRECHARGE
97650,40.000,1.200,48.000,PRECHARGE
97850,40.000,1.200,48.000,PRECHARGE
98050,40.000,1.200,48.000,PRECHARGE
98250,40.000,1.200,48.000,PRECHARGE
98450,40.000,1.200,48.000,PRECHARGE
98650,40.000,1.200,48.000,PRECHARGE
98850,40.000,1.200,48.000,PRECHARGE
99050,40.000,1.200,48.000,PRECHARGE
99250,40.000,1.200,48.000,PRECHARGE
99450,40.000,1.200,48.000,PRECHARGE
99650,40.000,1.200,48.000,PRECHARGE
99850,40.000,1.200,48.000,PRECHARGE
