BinStart,BinEnd,AvgCurrent_mA
269300,269400,116.66666666666667
269400,269500,142.5
269500,269600,102.5
269600,269700,175.0
269700,269800,130.0
270100,270200,45.0
270200,270300,130.0
270700,270800,240.0
271100,271200,45.0
271200,271300,81.66666666666667
271300,271400,145.0
271400,271500,138.75
271500,271600,174.0
271600,271700,20.0
271700,271800,240.0
272100,272200,240.0
272600,272700,112.5
272700,272800,136.0
272800,272900,45.0
272900,273000,126.66666666666667
273000,273100,240.0
273400,273500,240.0
273900,274000,240.0
274300,274400,240.0
274700,274800,45.0
274800,274900,177.0
274900,275000,175.0
275000,275100,146.66666666666666
275400,275500,45.0
275500,275600,100.0
275600,275700,105.0
275700,275800,132.5
275800,275900,117.5
276300,276400,45.0
276400,276500,102.5
276500,276600,126.66666666666667
276600,276700,125.0
276700,276800,167.5
276800,276900,175.0
276900,277000,174.0
277000,277100,140.0
277100,277200,121.25
277600,277700,240.0
278000,278100,240.0
278500,278600,240.0
279000,279100,240.0
279400,279500,45.0
279500,279600,136.25
279600,279700,240.0
280000,280100,45.0
280100,280200,170.0
280200,280300,130.0
280600,280700,45.0
280700,280800,180.0
280800,280900,180.0
280900,281000,118.0
281000,281100,171.0
281100,281200,140.0
281200,281300,240.0
281600,281700,240.0
282000,282100,45.0
282100,282200,170.0
282200,282300,176.25
282300,282400,172.5
282400,282500,132.5
282500,282600,240.0
282900,283000,240.0
283300,283400,105.0
283400,283500,153.33333333333334
283500,283600,146.25
283600,283700,180.0
283700,283800,172.5
283800,283900,176.25
283900,284000,102.5
284000,284100,81.66666666666667
284100,284200,92.5
284200,284300,138.75
284300,284400,102.5
284400,284500,146.66666666666666
284900,285000,240.0
285300,285400,240.0
285700,285800,105.0
285800,285900,102.5
285900,286000,121.66666666666667
286000,286100,240.0
286400,286500,112.5
286500,286600,146.66666666666666
287000,287100,142.5
287100,287200,100.0
287200,287300,112.5
287300,287400,171.0
287400,287500,172.5
287500,287600,151.25
288000,288100,125.0
288100,288200,176.25
288200,288300,165.0
288300,288400,180.0
288400,288500,168.75
288500,288600,151.25
288900,289000,240.0
289400,289500,72.5
289500,289600,81.66666666666667
289600,289700,172.5
289700,289800,180.0
289800,289900,92.5
289900,290000,240.0
290300,290400,240.0
290800,290900,240.0
291200,291300,240.0
291700,291800,240.0
292100,292200,240.0
292600,292700,101.66666666666667
293100,293200,130.0
293200,293300,20.0
293300,293400,133.0
293800,293900,240.0
294200,294300,105.0
294300,294400,130.0
294800,294900,102.5
294900,295000,144.0
295000,295100,98.75
295100,295200,151.25
295600,295700,127.0
296100,296200,32.5
296200,296300,146.25
296300,296400,130.0
296800,296900,112.5
296900,297000,130.0
297300,297400,45.0
