Start,End,State,Label
6978123,6978575,REFRESHING,
6978575,6978621,ACTIVE,Row 0
6978621,6978654,PRECHARGING,
6978654,6978682,ACTIVE,Row 0
6978682,6978714,READING,
6978714,6978731,PRECHARGING,
6978731,6978783,ACTIVE,Row 0
6978783,6978802,READING,
6978802,6978854,PRECHARGING,
6978854,6978877,ACTIVE,Row 0
6978877,6978924,READING,
6978924,6978957,WRITING,
6978957,6978990,READING,
6978990,6979048,PRECHARGING,
6979048,6979487,REFRESHING,
6979487,6979542,ACTIVE,Row 0
6979542,6979573,WRITING,
6979573,6979594,PRECHARGING,
6979594,6980050,REFRESHING,
6980050,6980128,ACTIVE,Row 0
6980128,6980146,WRITING,
6980146,6980182,READING,
6980182,6980196,WRITING,
6980196,6980243,READING,
6980243,6980262,WRITING,
6980262,6980281,READING,
6980281,6980330,WRITING,
6980330,6980367,PRECHARGING,
6980367,6982078,REFRESHING,
6982078,6982130,ACTIVE,Row 0
6982130,6982182,READING,
6982182,6982228,PRECHARGING,
6982228,6982259,ACTIVE,Row 0
6982259,6982304,READING,
6982304,6982320,WRITING,
6982320,6982428,READING,
6982428,6982460,PRECHARGING,
6982460,6983770,REFRESHING,
6983770,6983825,ACTIVE,Row 0
6983825,6983904,PRECHARGING,
6983904,6983921,ACTIVE,Row 0
6983921,6983961,WRITING,
6983961,6983988,READING,
6983988,6984059,PRECHARGING,
6984059,6986287,REFRESHING,
6986287,6986311,ACTIVE,Row 0
6986311,6986345,WRITING,
6986345,6986364,PRECHARGING,
6986364,6986826,REFRESHING,
6986826,6986866,ACTIVE,Row 0
6986866,6986927,READING,
6986927,6986951,PRECHARGING,
6986951,6987811,REFRESHING,
6987811,6987846,ACTIVE,Row 0
6987846,6987895,WRITING,
6987895,6987921,PRECHARGING,
6987921,6987958,ACTIVE,Row 0
6987958,6987992,READING,
6987992,6988014,PRECHARGING,
6988014,6988057,ACTIVE,Row 0
6988057,6988177,READING,
6988177,6988217,PRECHARGING,
6988217,6988238,ACTIVE,Row 0
6988238,6988261,WRITING,
6988261,6988286,PRECHARGING,
6988286,6988746,REFRESHING,
6988746,6988775,ACTIVE,Row 0
6988775,6988808,READING,
6988808,6988968,WRITING,
6988968,6988990,PRECHARGING,
6988990,6989454,REFRESHING,
6989454,6989525,ACTIVE,Row 0
6989525,6989544,READING,
6989544,6989597,WRITING,
6989597,6989629,READING,
6989629,6989647,PRECHARGING,
6989647,6989666,ACTIVE,Row 0
6989666,6989789,WRITING,
6989789,6989890,READING,
6989890,6989956,PRECHARGING,
6989956,6989974,ACTIVE,Row 0
6989974,6990040,READING,
6990040,6990105,PRECHARGING,
6990105,6990124,ACTIVE,Row 0
6990124,6990148,WRITING,
6990148,6990189,READING,
6990189,6990202,WRITING,
6990202,6990233,READING,
6990233,6990304,PRECHARGING,
6990304,6990332,ACTIVE,Row 0
6990332,6990426,WRITING,
6990426,6990446,READING,
6990446,6990476,WRITING,
6990476,6990546,READING,
6990546,6990587,WRITING,
6990587,6990635,READING,
6990635,6990662,PRECHARGING,
6990662,6990689,ACTIVE,Row 0
6990689,6990751,WRITING,
6990751,6990795,PRECHARGING,
6990795,6991683,REFRESHING,
6991683,6991727,ACTIVE,Row 0
6991727,6991749,PRECHARGING,
6991749,6992620,REFRESHING,
6992620,6992645,ACTIVE,Row 0
6992645,6992760,READING,
6992760,6992929,WRITING,
6992929,6992979,PRECHARGING,
6992979,6993002,ACTIVE,Row 0
6993002,6993033,READING,
6993033,6993067,PRECHARGING,
6993067,6993087,ACTIVE,Row 0
6993087,6993125,WRITING,
6993125,6993150,READING,
6993150,6993171,WRITING,
6993171,6993203,PRECHARGING,
6993203,6993225,ACTIVE,Row 0
6993225,6993262,READING,
6993262,6993300,WRITING,
6993300,6993343,READING,
6993343,6993406,WRITING,
6993406,6993425,READING,
6993425,6993451,WRITING,
6993451,6993494,READING,
6993494,6993507,WRITING,
6993507,6993535,READING,
6993535,6993574,WRITING,
6993574,6993603,PRECHARGING,
6993603,6994025,REFRESHING,
6994025,6994043,ACTIVE,Row 0
6994043,6994223,WRITING,
6994223,6994242,PRECHARGING,
6994242,6994279,ACTIVE,Row 0
6994279,6994368,WRITING,
6994368,6994386,PRECHARGING,
6994386,6994464,ACTIVE,Row 0
6994464,6994492,READING,
6994492,6994514,WRITING,
6994514,6994586,READING,
6994586,6994635,PRECHARGING,
6994635,6995059,REFRESHING,
6995059,6995076,ACTIVE,Row 0
6995076,6995155,READING,
6995155,6995207,PRECHARGING,
6995207,6995631,REFRESHING,
6995631,6995659,ACTIVE,Row 0
6995659,6995699,READING,
6995699,6995722,WRITING,
6995722,6995753,PRECHARGING,
6995753,6995771,ACTIVE,Row 0
6995771,6995818,READING,
6995818,6995865,PRECHARGING,
6995865,6995914,ACTIVE,Row 0
6995914,6995973,PRECHARGING,
6995973,6995993,ACTIVE,Row 0
6995993,6996025,READING,
6996025,6996126,WRITING,
6996126,6996160,PRECHARGING,
6996160,6996601,REFRESHING,
6996601,6996620,ACTIVE,Row 0
6996620,6996681,READING,
6996681,6996703,WRITING,
6996703,6996746,READING,
6996746,6996758,WRITING,
6996758,6996807,READING,
6996807,6996826,WRITING,
6996826,6996843,READING,
6996843,6996860,WRITING,
6996860,6996884,READING,
6996884,6996964,PRECHARGING,
6996964,6996999,ACTIVE,Row 0
6996999,6997037,WRITING,
6997037,6997133,READING,
6997133,6997201,WRITING,
6997201,6997222,READING,
6997222,6997269,WRITING,
6997269,6997337,PRECHARGING,
6997337,6997372,ACTIVE,Row 0
6997372,6997475,WRITING,
6997475,6997494,READING,
6997494,6997572,WRITING,
6997572,6997604,PRECHARGING,
6997604,6998877,REFRESHING,
6998877,6998896,ACTIVE,Row 0
6998896,6998931,READING,
6998931,6998957,PRECHARGING,
6998957,6998996,ACTIVE,Row 0
6998996,6999049,READING,
6999049,6999068,PRECHARGING,
6999068,6999086,ACTIVE,Row 0
6999086,6999108,WRITING,
6999108,6999205,READING,
6999205,6999223,WRITING,
6999223,6999246,PRECHARGING,
6999246,6999667,REFRESHING,
6999667,6999691,ACTIVE,Row 0
6999691,6999721,READING,
6999721,6999783,WRITING,
6999783,6999814,PRECHARGING,
6999814,6999833,ACTIVE,Row 0
6999833,6999916,READING,
6999916,7000040,WRITING,
7000040,7000064,READING,
7000064,7000100,PRECHARGING,
7000100,7000131,ACTIVE,Row 0
7000131,7000231,READING,
7000231,7000263,PRECHARGING,
7000263,7000284,ACTIVE,Row 0
